state,to_state,transitions,visits,from_visits,conditional_rate
catalog,observed_exit,51522,51522,54211,0.9503975207983619
product,observed_exit,4646,4646,5500,0.8447272727272728
catalog,product,3310,2828,54211,0.052166534467174556
home,observed_exit,1434,1434,2379,0.6027742749054225
product,catalog,1099,839,5500,0.15254545454545454
home,catalog,673,620,2379,0.26061370323665406
home,product,414,364,2379,0.15300546448087432
cart,unknown_after_intent,275,275,331,0.8308157099697885
product,home,245,195,5500,0.035454545454545454
catalog,home,188,168,54211,0.0030990020475549244
service,observed_exit,126,126,244,0.5163934426229508
home,instagram,149,118,2379,0.049600672551492225
catalog,one_click,117,115,54211,0.0021213406873143827
one_click,unknown_after_intent,108,108,156,0.6923076923076923
catalog,cart,88,88,54211,0.001623286786814484
other,observed_exit,85,85,154,0.551948051948052
home,service,66,62,2379,0.026061370323665407
catalog,service,63,62,54211,0.0011436793270738412
service,catalog,67,62,244,0.2540983606557377
product,other,57,54,5500,0.009818181818181818
product,service,54,51,5500,0.009272727272727273
cart,catalog,42,42,331,0.1268882175226586
product,instagram,41,41,5500,0.007454545454545454
catalog,other,39,37,54211,0.0006825183080924536
other,catalog,41,36,154,0.23376623376623376
404,observed_exit,32,32,39,0.8205128205128205
instagram,home,55,28,181,0.15469613259668508
instagram,catalog,29,25,181,0.13812154696132597
one_click,catalog,23,23,156,0.14743589743589744
service,other,25,23,244,0.0942622950819672
service,home,21,20,244,0.08196721311475409
home,other,18,17,2379,0.007145859604875998
catalog,shopify_external,16,16,54211,0.00029514305214808803
product,noon,16,16,5500,0.002909090909090909
instagram,product,15,15,181,0.08287292817679558
other,product,15,14,154,0.09090909090909091
catalog,instagram,15,14,54211,0.000258250170629577
product,whatsapp,14,14,5500,0.0025454545454545456
product,one_click,13,13,5500,0.0023636363636363638
service,thank_you,12,10,244,0.040983606557377046
other,home,10,10,154,0.06493506493506493
other,service,9,9,154,0.05844155844155844
product,add_to_cart,10,9,5500,0.0016363636363636363
service,product,10,9,244,0.036885245901639344
one_click,thank_you,8,8,156,0.05128205128205128
one_click,product,8,8,156,0.05128205128205128
catalog,whatsapp,7,7,54211,0.0001291250853147885
product,shopify_external,7,7,5500,0.0012727272727272728
cart,product,7,7,331,0.021148036253776436
thank_you,home,10,7,20,0.35
add_to_cart,unknown_after_intent,6,6,17,0.35294117647058826
shopify_external,catalog,6,6,31,0.1935483870967742
product,cart,6,6,5500,0.001090909090909091
catalog,404,5,5,54211,9.223220379627751e-05
whatsapp,catalog,5,5,32,0.15625
404,catalog,5,5,39,0.1282051282051282
catalog,add_to_cart,5,5,54211,9.223220379627751e-05
other,whatsapp,6,5,154,0.032467532467532464
other,instagram,4,4,154,0.025974025974025976
shopify_external,home,7,4,31,0.12903225806451613
add_to_cart,catalog,4,4,17,0.23529411764705882
add_to_cart,product,4,4,17,0.23529411764705882
cart,home,4,4,331,0.012084592145015106
home,shopify_external,7,4,2379,0.0016813787305590584
one_click,home,4,4,156,0.02564102564102564
home,add_to_cart,4,4,2379,0.0016813787305590584
add_to_cart,one_click,3,3,17,0.17647058823529413
one_click,other,3,3,156,0.019230769230769232
noon,product,3,3,17,0.17647058823529413
thank_you,service,3,3,20,0.15
service,one_click,3,3,244,0.012295081967213115
service,whatsapp,3,3,244,0.012295081967213115
product,404,3,3,5500,0.0005454545454545455
one_click,cart,3,3,156,0.019230769230769232
service,instagram,3,3,244,0.012295081967213115
home,one_click,3,3,2379,0.0012610340479192938
instagram,whatsapp,3,3,181,0.016574585635359115
home,404,10,3,2379,0.0012610340479192938
home,cart,2,2,2379,0.0008406893652795292
404,product,2,2,39,0.05128205128205128
add_to_cart,home,2,2,17,0.11764705882352941
whatsapp,instagram,2,2,32,0.0625
whatsapp,home,2,2,32,0.0625
thank_you,one_click,2,2,20,0.1
shopify_external,product,2,2,31,0.06451612903225806
thank_you,catalog,2,2,20,0.1
one_click,shopify_external,2,2,156,0.01282051282051282
home,thank_you,2,2,2379,0.0008406893652795292
instagram,service,2,2,181,0.011049723756906077
cart,other,2,2,331,0.006042296072507553
cart,service,2,2,331,0.006042296072507553
whatsapp,product,2,2,32,0.0625
whatsapp,service,2,2,32,0.0625
one_click,service,2,2,156,0.01282051282051282
one_click,whatsapp,2,2,156,0.01282051282051282
one_click,instagram,4,2,156,0.01282051282051282
404,home,8,1,39,0.02564102564102564
noon,home,1,1,17,0.058823529411764705
instagram,one_click,3,1,181,0.0055248618784530384
home,whatsapp,1,1,2379,0.0004203446826397646
cart,shopify_external,1,1,331,0.0030211480362537764
cart,instagram,1,1,331,0.0030211480362537764
other,one_click,1,1,154,0.006493506493506494
other,noon,1,1,154,0.006493506493506494
other,thank_you,1,1,154,0.006493506493506494
shopify_external,cart,1,1,31,0.03225806451612903
service,cart,1,1,244,0.004098360655737705
shopify_external,instagram,1,1,31,0.03225806451612903
shopify_external,service,1,1,31,0.03225806451612903
thank_you,other,1,1,20,0.05
thank_you,instagram,1,1,20,0.05
whatsapp,other,1,1,32,0.03125
whatsapp,shopify_external,1,1,32,0.03125
